ts,tracked50_views,n_videos
2026-08-25T00:59:18+00:00,3432502,46
2026-08-25T01:00:19+00:00,3432513,46
2026-08-25T01:01:19+00:00,3432502,46
2026-08-25T01:02:19+00:00,3432503,46
2026-08-25T01:03:19+00:00,3432503,46
2026-08-25T01:04:19+00:00,3432507,46
2026-08-25T01:05:19+00:00,3432517,46
2026-08-25T01:06:19+00:00,3432517,46
2026-08-25T01:07:20+00:00,3432532,46
2026-08-25T01:08:20+00:00,3432521,46
2026-08-25T01:09:20+00:00,3432527,46
2026-08-25T01:10:20+00:00,3432529,46
2026-08-25T01:11:20+00:00,3432539,46
2026-08-25T01:12:20+00:00,3432539,46
2026-08-25T01:13:26+00:00,3432550,46
2026-08-25T01:14:26+00:00,3432552,46
2026-08-25T01:15:26+00:00,3432560,46
2026-08-25T01:16:26+00:00,3432560,46
2026-08-25T01:17:26+00:00,3432560,46
2026-08-25T01:18:26+00:00,3432549,46
2026-08-25T01:19:27+00:00,3432554,46
2026-08-25T01:20:27+00:00,3432564,46
2026-08-25T01:21:27+00:00,3432576,46
2026-08-25T01:22:27+00:00,3432565,46
2026-08-25T01:23:27+00:00,3432571,46
2026-08-25T01:24:27+00:00,3432579,46
2026-08-25T01:25:27+00:00,3432579,46
2026-08-25T01:26:28+00:00,3432590,46
2026-08-25T01:27:28+00:00,3432590,46
2026-08-25T01:28:28+00:00,3432590,46
2026-08-25T01:29:28+00:00,3432595,46
2026-08-25T01:30:28+00:00,3432586,46
2026-08-25T01:31:28+00:00,3432591,46
2026-08-25T01:32:28+00:00,3432591,46
2026-08-25T01:33:29+00:00,3432586,46
2026-08-25T01:34:29+00:00,3432604,46
2026-08-25T01:35:29+00:00,3432605,46
2026-08-25T01:36:29+00:00,3432605,46
2026-08-25T01:37:29+00:00,3432602,46
2026-08-25T01:38:29+00:00,3432602,46
2026-08-25T01:39:29+00:00,3432613,46
2026-08-25T01:40:29+00:00,3432613,46
2026-08-25T01:41:30+00:00,3432613,46
2026-08-25T01:42:30+00:00,3432615,46
2026-08-25T01:43:30+00:00,3432615,46
2026-08-25T01:44:30+00:00,3432624,46
2026-08-25T01:45:30+00:00,3432624,46
2026-08-25T01:46:30+00:00,3432636,46
2026-08-25T01:47:30+00:00,3432637,46
2026-08-25T01:48:31+00:00,3432629,46
2026-08-25T01:49:31+00:00,3432637,46
2026-08-25T01:50:31+00:00,3432632,46
2026-08-25T01:51:31+00:00,3432632,46
2026-08-25T01:52:31+00:00,3432635,46
2026-08-25T01:53:45+00:00,3432639,46
2026-08-25T01:54:45+00:00,3432679,46
2026-08-25T01:55:45+00:00,3432718,46
2026-08-25T01:56:46+00:00,3432712,46
2026-08-25T01:57:46+00:00,3432712,46
2026-08-25T01:58:46+00:00,3432726,46
2026-08-25T01:59:46+00:00,3432724,46
2026-08-25T02:00:46+00:00,3432724,46
2026-08-25T02:01:46+00:00,3432729,46
2026-08-25T02:02:46+00:00,3432724,46
2026-08-25T02:03:46+00:00,3432730,46
2026-08-25T02:04:46+00:00,3432739,46
2026-08-25T02:05:47+00:00,3432733,46
2026-08-25T02:06:47+00:00,3432742,46
2026-08-25T02:07:47+00:00,3432742,46
2026-08-25T02:08:47+00:00,3432755,46
2026-08-25T02:09:47+00:00,3432757,46
2026-08-25T02:10:47+00:00,3432758,46
2026-08-25T02:11:47+00:00,3432758,46
2026-08-25T02:12:47+00:00,3432772,46
2026-08-25T02:13:48+00:00,3432772,46
2026-08-25T02:14:48+00:00,3432785,46
2026-08-25T02:15:48+00:00,3432785,46
2026-08-25T02:16:48+00:00,3432801,46
2026-08-25T02:17:48+00:00,3432803,46
2026-08-25T02:18:48+00:00,3432795,46
2026-08-25T02:19:48+00:00,3432813,46
2026-08-25T02:20:48+00:00,3432800,46
2026-08-25T02:21:49+00:00,3432813,46
2026-08-25T02:22:49+00:00,3432814,46
2026-08-25T02:23:49+00:00,3432818,46
2026-08-25T02:24:49+00:00,3432824,46
2026-08-25T02:25:49+00:00,3432829,46
2026-08-25T02:26:49+00:00,3432831,46
2026-08-25T02:27:49+00:00,3432815,46
2026-08-25T02:28:49+00:00,3432834,46
2026-08-25T02:29:50+00:00,3432819,46
2026-08-25T02:30:50+00:00,3432829,46
2026-08-25T02:31:50+00:00,3432829,46
2026-08-25T02:32:50+00:00,3432829,46
2026-08-25T02:33:50+00:00,3432839,46
2026-08-25T02:34:50+00:00,3432847,46
2026-08-25T02:35:50+00:00,3432833,46
2026-08-25T02:36:50+00:00,3432852,46
2026-08-25T02:37:51+00:00,3432854,46
2026-08-25T02:38:51+00:00,3432856,46
2026-08-25T02:39:51+00:00,3432859,46
2026-08-25T02:40:51+00:00,3432859,46
2026-08-25T02:41:51+00:00,3432859,46
2026-08-25T02:42:51+00:00,3432864,46
2026-08-25T02:43:51+00:00,3432868,46
2026-08-25T02:44:52+00:00,3432877,46
2026-08-25T02:45:52+00:00,3432877,46
2026-08-25T02:46:52+00:00,3432896,46
2026-08-25T02:47:52+00:00,3432905,46
2026-08-25T02:48:52+00:00,3432902,46
2026-08-25T02:49:52+00:00,3432906,46
2026-08-25T02:50:52+00:00,3432906,46
2026-08-25T02:51:52+00:00,3432908,46
2026-08-25T02:52:52+00:00,3432916,46
2026-08-25T02:53:53+00:00,3432925,46
2026-08-25T02:54:53+00:00,3432924,46
2026-08-25T02:55:53+00:00,3432924,46
2026-08-25T02:56:53+00:00,3432928,46
2026-08-25T02:57:53+00:00,3432936,46
2026-08-25T02:58:53+00:00,3432939,46
2026-08-25T02:59:53+00:00,3432944,46
2026-08-25T03:00:53+00:00,3432938,46
2026-08-25T03:01:54+00:00,3432939,46
2026-08-25T03:02:54+00:00,3432944,46
2026-08-25T03:03:54+00:00,3432945,46
2026-08-25T03:04:54+00:00,3432945,46
2026-08-25T03:05:54+00:00,3432945,46
2026-08-25T03:06:54+00:00,3432945,46
2026-08-25T03:07:54+00:00,3432945,46
2026-08-25T03:08:54+00:00,3432948,46
2026-08-25T03:09:55+00:00,3432957,46
2026-08-25T03:10:55+00:00,3432951,46
2026-08-25T03:11:55+00:00,3432956,46
2026-08-25T03:12:55+00:00,3432957,46
2026-08-25T03:13:55+00:00,3432961,46
2026-08-25T03:14:55+00:00,3432967,46
2026-08-25T03:15:55+00:00,3432988,46
2026-08-25T03:16:55+00:00,3432988,46
2026-08-25T03:17:55+00:00,3432988,46
2026-08-25T03:18:56+00:00,3432990,46
2026-08-25T03:19:56+00:00,3432994,46
2026-08-25T03:20:56+00:00,3432994,46
2026-08-25T03:21:56+00:00,3432996,46
2026-08-25T03:22:56+00:00,3432996,46
2026-08-25T03:23:56+00:00,3432998,46
2026-08-25T03:24:56+00:00,3433001,46
2026-08-25T03:25:57+00:00,3433001,46
2026-08-25T03:26:57+00:00,3433005,46
2026-08-25T03:27:57+00:00,3433007,46
2026-08-25T03:28:57+00:00,3433011,46
2026-08-25T03:29:57+00:00,3433015,46
